timestamp,Kp_roll,Kp_pitch,Kp_yaw,rbfnn_lr,pitch_offset,roll_offset,cost,verdict
2026-04-08 21:09:58,0.116554,0.116554,0.236266,0.185450,-0.248124,-0.015195,535.8960,NEAR_FLIP
2026-04-08 21:11:40,0.263719,0.263719,0.299342,0.353724,-0.131250,0.050000,538.6033,STUCK_ON_GROUND
2026-04-08 21:12:58,0.288527,0.288527,0.263011,0.275027,-0.208526,-0.036521,536.6941,NEAR_FLIP
2026-04-08 21:14:15,0.238556,0.238556,0.446663,0.313476,-0.205623,-0.039119,536.9606,NEAR_FLIP
2026-04-08 21:15:41,0.174264,0.174264,0.190553,0.315653,-0.180901,0.049396,555.3608,NEAR_FLIP
2026-04-08 21:17:21,0.043605,0.043605,0.136800,0.214243,-0.030945,-0.037723,549.5420,NEAR_FLIP
2026-04-08 21:18:44,0.055061,0.055061,0.494235,0.146818,-0.103930,0.037354,536.6992,NEAR_FLIP
2026-04-08 21:20:04,0.092264,0.092264,0.187916,0.306438,-0.117714,0.033945,536.9257,NEAR_FLIP
2026-04-08 21:21:33,0.271182,0.271182,0.226301,0.134777,-0.040642,0.012475,326.2882,NEAR_FLIP
2026-04-08 21:22:49,0.201081,0.201081,0.271952,0.498202,-0.242701,-0.015301,1036.8678,FLIPPED
2026-04-08 21:24:08,0.244267,0.244267,0.123815,0.345686,-0.163791,0.042917,536.6721,NEAR_FLIP
2026-04-08 21:25:32,0.111781,0.111781,0.068295,0.479905,-0.110335,-0.014233,536.8526,NEAR_FLIP
2026-04-08 21:27:00,0.070344,0.070344,0.053901,0.096539,-0.049094,0.007772,533.2623,NEAR_FLIP
2026-04-08 21:28:21,0.151197,0.151197,0.218466,0.280485,-0.139340,0.044665,536.5786,NEAR_FLIP
2026-04-08 21:29:49,0.048225,0.048225,0.319103,0.056902,-0.069434,-0.021246,534.0660,NEAR_FLIP
2026-04-08 21:31:29,0.196813,0.196813,0.201367,0.287151,-0.130474,-0.046855,538.9136,STUCK_ON_GROUND
2026-04-08 21:32:48,0.167980,0.167980,0.207874,0.332879,-0.159542,0.037970,536.7264,NEAR_FLIP
2026-04-08 21:34:10,0.187499,0.187499,0.087657,0.334823,-0.165449,0.022997,535.4674,NEAR_FLIP
2026-04-08 21:35:34,0.274452,0.274452,0.158680,0.402278,-0.135170,0.031744,539.1552,NEAR_FLIP
2026-04-08 21:36:57,0.138506,0.138506,0.162195,0.338344,-0.142589,0.045031,536.7358,NEAR_FLIP
2026-04-08 21:38:26,0.104491,0.104491,0.129186,0.246759,-0.073711,0.040379,548.0185,NEAR_FLIP
2026-04-08 21:39:52,0.284948,0.284948,0.253171,0.197926,-0.085242,-0.009193,324.2311,NEAR_FLIP
2026-04-08 21:41:18,0.191888,0.191888,0.235467,0.286741,-0.141918,0.032050,540.8869,NEAR_FLIP
2026-04-08 21:42:59,0.223366,0.223366,0.404668,0.342216,-0.079069,-0.026006,535.9047,STUCK_ON_GROUND
2026-04-08 21:44:20,0.106829,0.106829,0.317752,0.305206,-0.157213,-0.011890,536.5596,NEAR_FLIP
2026-04-08 21:45:40,0.170343,0.170343,0.161566,0.294404,-0.133706,0.046982,236.7330,LOW_ALT
2026-04-08 21:47:10,0.162860,0.162860,0.288715,0.248272,-0.056496,0.040020,544.9565,NEAR_FLIP
2026-04-08 21:48:50,0.079792,0.079792,0.315924,0.053967,-0.178847,-0.018191,243.7715,LOW_ALT
2026-04-08 21:50:10,0.164531,0.164531,0.160318,0.252238,-0.154410,0.050000,536.1605,NEAR_FLIP
2026-04-08 21:51:30,0.126576,0.126576,0.444763,0.149970,-0.155048,-0.011357,536.6055,NEAR_FLIP
2026-04-08 21:52:57,0.183662,0.183662,0.267897,0.180812,-0.058476,-0.009159,536.0563,NEAR_FLIP
2026-04-08 21:54:15,0.124607,0.124607,0.202557,0.226711,-0.166396,0.050000,536.7088,NEAR_FLIP
2026-04-08 21:55:36,0.102438,0.102438,0.129704,0.182560,-0.106427,0.010488,536.7506,NEAR_FLIP
2026-04-08 21:57:17,0.184367,0.184367,0.334447,0.117447,-0.052569,0.000582,538.0590,STUCK_ON_GROUND
2026-04-08 21:58:37,0.088036,0.088036,0.258617,0.253157,-0.136873,0.038564,536.9861,STUCK_ON_GROUND
2026-04-08 22:00:19,0.254633,0.254633,0.276383,0.039481,-0.057642,0.045167,524.7377,NEAR_FLIP
2026-04-08 22:01:44,0.193059,0.193059,0.488395,0.076584,-0.075765,0.031636,534.4592,NEAR_FLIP
2026-04-08 22:03:04,0.169353,0.169353,0.230223,0.345937,-0.148406,0.050000,536.1323,NEAR_FLIP
2026-04-08 22:04:44,0.246265,0.246265,0.224671,0.209924,-0.115866,-0.006219,537.5924,STUCK_ON_GROUND
2026-04-08 22:06:25,0.244962,0.244962,0.200174,0.265356,-0.102097,-0.010070,539.9755,NEAR_FLIP
2026-04-08 22:07:48,0.154118,0.154118,0.166427,0.269343,-0.135165,0.050000,536.6121,NEAR_FLIP
