timestamp,pitch_offset,roll_offset,rbfnn_lr,cost,verdict
2026-04-13 19:43:00.368436,0.04008,-0.02196,0.01075,959.65,NEAR_FLIP
2026-04-13 19:44:27.099632,-0.02513,-0.00496,0.01123,455.52,NEAR_FLIP
2026-04-13 19:45:47.298317,-0.11014,-0.04080,0.01801,662.10,NEAR_FLIP
2026-04-13 19:47:11.387719,-0.03073,-0.06425,0.00977,656.54,NEAR_FLIP
2026-04-13 19:48:49.551244,0.00970,-0.03083,0.01119,256.08,LOW_ALT
2026-04-13 19:50:12.005925,0.02480,0.07297,0.00925,660.82,NEAR_FLIP
2026-04-13 19:51:36.708072,-0.01846,0.00746,0.00897,655.54,NEAR_FLIP
2026-04-13 19:53:05.878284,-0.00661,0.00166,0.00692,660.14,NEAR_FLIP
2026-04-13 19:54:33.140447,0.00514,-0.02164,0.00794,416.01,NEAR_FLIP
2026-04-13 19:56:11.615947,-0.02652,-0.02910,0.01141,255.15,LOW_ALT
2026-04-13 19:57:33.726971,0.00349,-0.03590,0.01668,458.73,NEAR_FLIP
2026-04-13 19:59:11.882834,0.01334,0.01483,0.01045,555.68,STUCK
2026-04-13 20:00:50.096898,-0.05272,-0.01795,0.00899,255.69,LOW_ALT
2026-04-13 20:02:10.833238,0.08308,-0.06633,0.02235,462.02,NEAR_FLIP
2026-04-13 20:03:44.043398,-0.00130,-0.02589,0.00870,455.67,NEAR_FLIP
2026-04-13 20:05:10.744642,-0.01122,-0.03534,0.00788,417.45,NEAR_FLIP
2026-04-13 20:06:49.460684,-0.02945,0.00547,0.01017,556.63,STUCK
2026-04-13 20:08:11.963797,-0.12507,-0.04761,0.01472,654.70,NEAR_FLIP
2026-04-13 20:09:38.406984,0.00576,-0.01086,0.01168,455.00,NEAR_FLIP
2026-04-13 20:11:06.595297,0.06897,0.01038,0.01989,655.63,NEAR_FLIP
2026-04-13 20:12:31.695647,-0.02055,-0.01939,0.01310,656.96,NEAR_FLIP
2026-04-13 20:13:58.522973,0.01597,-0.01372,0.01256,659.13,NEAR_FLIP
2026-04-13 20:15:36.735158,-0.01244,-0.00130,0.01255,256.63,LOW_ALT
2026-04-13 20:17:15.574611,-0.05127,-0.00993,0.00802,261.17,LOW_ALT
2026-04-13 20:18:53.710309,-0.02671,-0.05557,0.00987,256.98,LOW_ALT
2026-04-13 20:20:16.137847,-0.00361,-0.04283,0.01344,661.06,NEAR_FLIP
2026-04-13 20:21:50.590832,-0.01736,-0.01884,0.00653,655.60,NEAR_FLIP
2026-04-13 20:23:13.825729,0.05419,-0.01403,0.01021,462.32,NEAR_FLIP
2026-04-13 20:24:38.284922,0.00742,0.00074,0.01055,656.37,NEAR_FLIP
2026-04-13 20:26:04.544128,-0.05013,-0.01338,0.00822,456.71,NEAR_FLIP
2026-04-13 20:27:26.967091,0.00355,0.04500,0.00812,658.04,NEAR_FLIP
2026-04-13 20:28:53.496623,-0.11332,-0.01949,0.00998,413.37,NEAR_FLIP
2026-04-13 20:30:07.644025,-0.14379,0.06614,0.00321,663.24,NEAR_FLIP
2026-04-13 20:31:46.890898,0.01052,0.00940,0.02229,260.22,LOW_ALT
2026-04-13 20:33:25.510282,-0.03014,-0.01957,0.01056,556.70,STUCK
2026-04-13 20:34:52.359110,0.06254,0.07869,0.00758,657.04,NEAR_FLIP
2026-04-13 20:36:22.813509,-0.10587,-0.06014,0.01741,411.42,NEAR_FLIP
2026-04-13 20:37:43.329851,-0.11667,0.00867,0.01167,657.81,NEAR_FLIP
2026-04-13 20:39:09.527877,0.00715,-0.02571,0.00730,659.81,NEAR_FLIP
2026-04-13 20:40:32.357844,-0.02768,-0.05353,0.00779,660.38,NEAR_FLIP
2026-04-13 20:42:10.435207,-0.02673,0.04459,0.02175,555.70,STUCK
2026-04-13 20:43:40.684369,-0.00954,-0.06198,0.02053,413.30,NEAR_FLIP
2026-04-13 20:45:07.710557,-0.05212,0.00107,0.00741,656.09,NEAR_FLIP
2026-04-13 20:46:40.228193,-0.00969,-0.01024,0.01085,408.58,NEAR_FLIP
2026-04-13 20:48:04.392062,-0.04609,-0.02357,0.00800,656.60,NEAR_FLIP
2026-04-13 20:49:25.072949,0.08365,-0.02321,0.00607,663.25,NEAR_FLIP
2026-04-13 20:51:03.861453,-0.00485,-0.04342,0.02067,555.95,STUCK
2026-04-13 20:52:28.537930,-0.01787,-0.01753,0.00861,660.57,NEAR_FLIP
2026-04-13 20:53:53.619213,-0.03314,-0.04031,0.01003,458.74,NEAR_FLIP
2026-04-13 20:55:17.810983,-0.01536,-0.02684,0.00900,456.45,NEAR_FLIP
2026-04-13 20:56:42.598396,0.01613,0.01549,0.01212,660.55,NEAR_FLIP
2026-04-13 20:58:07.013642,-0.11302,-0.01903,0.01429,456.94,NEAR_FLIP
2026-04-13 20:59:29.486000,-0.04382,-0.03884,0.01000,656.70,NEAR_FLIP
2026-04-13 21:00:51.899211,-0.01993,-0.02700,0.01388,458.86,NEAR_FLIP
2026-04-13 21:02:12.269554,-0.14384,-0.04273,0.01180,660.89,NEAR_FLIP
2026-04-13 21:03:40.708283,0.01077,-0.01688,0.01741,461.44,NEAR_FLIP
2026-04-13 21:05:09.210656,-0.10137,0.04020,0.01369,409.43,NEAR_FLIP
2026-04-13 21:06:33.368333,-0.02873,-0.03091,0.00994,656.74,NEAR_FLIP
2026-04-13 21:08:12.392266,0.04687,0.06323,0.00511,554.69,STUCK
